,interaction,env,obj,directory,tri_mesh_env,tri_mesh_obj,o3d_cloud_sources_ibs,tri_mesh_ibs,tri_mesh_ibs_segmented
0,hang,hanging-rack,umbrella,./data/interactions/hanging-rack_umbrella/,hanging-rack.ply,umbrella.ply,env_samplings_ibs_hanging-rack_umbrella_sample_600_resamplings_2.pcd,ibs_hanging-rack_umbrella_sampled_600_resamplings_2.ply,ibs_segmented_hanging-rack_umbrella_sampled_600_resamplings_2.ply
1,place,table,bowl,./data/interactions/table_bowl/,table.ply,bowl.ply,env_samplings_ibs_table_bowl_sample_600_resamplings_2.pcd,ibs_table_bowl_sampled_600_resamplings_2.ply,ibs_segmented_table_bowl_sampled_600_resamplings_2.ply
2,ride,motorbike,rider,./data/interactions/motorbike_rider/,motorbike.ply,rider.ply,env_samplings_ibs_motorbike_rider_sample_600_resamplings_2.pcd,ibs_motorbike_rider_sampled_600_resamplings_2.ply,ibs_segmented_motorbike_rider_sampled_600_resamplings_2.ply
3,sit_chair,chair,human,./data/interactions/sit/chair_human/,chair.ply,sat-human.ply,env_samplings_ibs_chair_human_sample_600_resamplings_2.pcd,ibs_chair_human_sampled_600_resamplings_2.ply,ibs_segmented_chair_human_sampled_600_resamplings_2.ply
4,sit_arm-chair,arm-chair,human,./data/interactions/sit/arm-chair_human/,arm-chair.ply,sat-human.ply,env_samplings_ibs_arm-chair_human_sample_600_resamplings_2.pcd,ibs_arm-chair_human_sampled_600_resamplings_2.ply,ibs_segmented_arm-chair_human_sampled_600_resamplings_2.ply
5,sit_ottoman,ottoman,human,./data/interactions/sit/ottoman-human/,ottoman.ply,sat-human.ply,env_samplings_ibs_ottoman_human_sample_600_resamplings_2.pcd,ibs_ottoman_human_sampled_600_resamplings_2.ply,ibs_segmented_ottoman_human_sampled_600_resamplings_2.ply
6,hang_boater,coat-rack,boater-hat,./data/interactions/hats/coat-rack_boater-hat/,coat-rack.ply,boater-hat.ply,env_samplings_ibs_coat-rack_boater_hat_sample_600_resamplings_2.pcd,ibs_coat-rack_boater_hat_sampled_600_resamplings_2.ply,ibs_segmented_coat-rack_boater_hat_sampled_600_resamplings_2.ply
7,hang_fedora,coat-rack,fedora-hat,./data/interactions/hats/coat-rack_fedora-hat/,coat-rack.ply,fedora-hat.ply,env_samplings_ibs_coat-rack_fedora_hat_sample_600_resamplings_2.pcd,ibs_coat-rack_fedora_hat_sampled_600_resamplings_2.ply,ibs_segmented_coat-rack_fedora_hat_sampled_600_resamplings_2.ply
8,hang_boater_sloped,coat-rack,boater-hat_sloped,./data/interactions/hats/coat-rack_boater-hat_sloped/,coat-rack_for_sloped_hats.ply,boater-hat_sloped.ply,env_samplings_ibs_coat-rack_boater_hat_sloped_sample_600_resamplings_2.pcd,ibs_coat-rack_boater_hat_sloped_sampled_600_resamplings_2.ply,ibs_segmented_coat-rack_boater_hat_sloped_sampled_600_resamplings_2.ply
9,hang_fedora_sloped,coat-rack,fedora-hat_sloped,./data/interactions/hats/coat-rack_fedora-hat_sloped/,coat-rack_for_sloped_hats.ply,fedora-hat_sloped.ply,env_samplings_ibs_coat-rack_fedora_hat_sloped_sample_600_resamplings_2.pcd,ibs_coat-rack_fedora_hat_sloped_sampled_600_resamplings_2.ply,ibs_segmented_coat-rack_fedora_hat_sloped_sampled_600_resamplings_2.ply
10,reaching_out_low,reachable,human_reaching_out_low,./data/interactions/reaching_out//reaching_out_low,reachable.ply,human_reaching_out_low.ply,reaching_out_low_human_reaching_out_low_o3d_cloud_sources_ibs.pcd,reaching_out_low_human_reaching_out_low_ibs_mesh.ply,
